vector_store_file_id,file_id,filename,status,size,size_bytes,created_at,created_timestamp
file-2KckEMNFGFo36C2jaKUgaR,file-2KckEMNFGFo36C2jaKUgaR,article_51610685268121.txt,completed,3.46 KB,3541,2025-10-23 15:54:24,1761198864
file-EXy2n4pgGauSNKy2x3boP6,file-EXy2n4pgGauSNKy2x3boP6,article_51602371865113.txt,completed,14.58 KB,14934,2025-10-23 15:51:16,1761198676
file-RnmPJK2gEzWsYHSMgeDG4E,file-RnmPJK2gEzWsYHSMgeDG4E,article_4407517293081.txt,completed,3.61 KB,3700,2025-10-23 15:49:33,1761198573
file-GFY4oVVQ33btwYkyMgNk2y,file-GFY4oVVQ33btwYkyMgNk2y,article_4407499009305.txt,completed,3.76 KB,3854,2025-10-23 15:49:23,1761198563
file-L5cXsNmByj4evZA2Bs7D5n,file-L5cXsNmByj4evZA2Bs7D5n,article_49125805318297.txt,completed,1.60 KB,1638,2025-10-23 15:48:13,1761198493
file-EVnZJYxV1hEDrPcWfbTCsm,file-EVnZJYxV1hEDrPcWfbTCsm,article_21028226218777.txt,completed,18.63 KB,19075,2025-10-23 15:46:44,1761198404
file-F1fTxCLCQ6WQt2nKrgYh6Z,file-F1fTxCLCQ6WQt2nKrgYh6Z,article_4406865209741.txt,completed,13.18 KB,13500,2025-10-23 15:46:35,1761198395
file-A2J6VhfEYZ6UcpnhkxwUj4,file-A2J6VhfEYZ6UcpnhkxwUj4,article_50726184414617.txt,completed,11.59 KB,11873,2025-10-23 15:45:27,1761198327
file-4MZjb7hVqaMjxxX4Cry6SN,file-4MZjb7hVqaMjxxX4Cry6SN,article_16809814339609.txt,completed,18.40 KB,18846,2025-10-23 15:43:31,1761198211
file-6BNvmxTQogu71AvrNXwgom,file-6BNvmxTQogu71AvrNXwgom,article_4410623875481.txt,completed,25.41 KB,26018,2025-10-23 15:42:35,1761198155
file-XjBZ2VxrLicHvdr74UuyST,file-XjBZ2VxrLicHvdr74UuyST,article_50728531641497.txt,completed,8.78 KB,8992,2025-10-23 15:42:04,1761198124
file-KkEv7oUJ3uAbaTGXWcFvfV,file-KkEv7oUJ3uAbaTGXWcFvfV,article_36302589081753.txt,completed,11.79 KB,12075,2025-10-23 15:41:24,1761198084
file-JC8phRTw3NYYo9EitMFYNG,file-JC8phRTw3NYYo9EitMFYNG,article_31218462788505.txt,completed,23.57 KB,24135,2025-10-23 15:40:06,1761198006
file-R7FCYhRqrdd3gEjSqre2Qr,file-R7FCYhRqrdd3gEjSqre2Qr,article_50424308246169.txt,completed,8.36 KB,8561,2025-10-23 15:38:58,1761197938
file-LssFBuRapKdSUb4hHYBhzV,file-LssFBuRapKdSUb4hHYBhzV,article_22129007295385.txt,completed,4.73 KB,4842,2025-10-23 15:37:17,1761197837
file-5GaZ9vuLe8SZXAjTYkR3kP,file-5GaZ9vuLe8SZXAjTYkR3kP,article_16808757090713.txt,completed,15.22 KB,15584,2025-10-23 15:35:41,1761197741
file-45AnCnpQTvYcBAQRtzczN6,file-45AnCnpQTvYcBAQRtzczN6,article_51683796552089.txt,completed,4.42 KB,4527,2025-10-23 12:25:39,1761186339
file-CmZjRvPfMDr4yuX6fetCgM,file-CmZjRvPfMDr4yuX6fetCgM,article_34269427691289.txt,completed,7.04 KB,7204,2025-10-23 09:47:24,1761176844
file-7vns8UJeU1VTTA2B38pfRv,file-7vns8UJeU1VTTA2B38pfRv,article_29742178285209.txt,completed,2.98 KB,3048,2025-10-22 11:35:52,1761096952
file-YVdV4HpxGKXGCv2dY5D24X,file-YVdV4HpxGKXGCv2dY5D24X,article_29632222423193.txt,completed,2.84 KB,2904,2025-10-22 11:29:39,1761096579
file-UgwGRCQyS9vT66p29DT4zd,file-UgwGRCQyS9vT66p29DT4zd,article_360024321751.txt,completed,29.73 KB,30445,2025-10-22 09:16:11,1761088571
